SETNO,START_SET,END_SET,LONGITUDE_START,LATITUDE_START,LONGITUDE_FINISH,LATITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SET_DIST,SET_SECS,SET_SPEED,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2017001.002.D,2017-07-20T10:58:00Z,2017-07-20T11:18:00Z,-66.8603,44.9275,-66.8627,44.939,90,88,571.0833374281406,1200,1.7132500122844216,2.1,89.49,8.25
BOF2017001.003.D,2017-07-20T12:39:00Z,2017-07-20T12:54:00Z,-66.7674,45.0217,-66.7564,45.0237,42,43,1229.861751711872,900,4.919447006847489,2,42.12,9.16
BOF2017001.004.C,2017-07-21T10:10:00Z,2017-07-21T10:25:00Z,-66.9718,45.1135,-66.9604,45.1099,29,29,1281.0312977915014,900,5.124125191166006,2,28.97,11.05
BOF2017001.005.B,2017-07-21T12:00:00Z,2017-07-21T12:09:00Z,-67.035,44.9797,-67.0391,44.9823,72,65,471.05514844957395,540,3.140367656330493,2,72.48,11.26
BOF2017001.006.A,2017-07-21T13:20:00Z,2017-07-21T13:33:00Z,-67.0955,45.0872,-67.099,45.0918,28,28,438.5182870951413,780,2.0239305558237293,2,27.05,11.71
BOF2017001.007.D,2017-08-10T10:43:00Z,2017-08-10T10:59:00Z,-66.775,44.993,-66.7617,44.9921,58,58,1483.7257721327894,960,5.5639716454979595,2.1,58.06,10.04
BOF2017001.008.D,2017-08-10T11:36:00Z,2017-08-10T11:42:00Z,-66.753,44.9953,-66.7544,44.991,57,60,245.5011052617745,360,2.455011052617745,2,57.47,10.45
BOF2017001.009.D,2017-08-10T13:09:00Z,2017-08-10T13:29:00Z,-66.8609,44.9344,-66.8595,44.9485,92,110,637.9693978469157,1200,1.9139081935407471,2,94.84,9.86
BOF2017001.01.B,2017-08-11T10:50:00Z,2017-08-11T11:10:00Z,-66.9674,45.1035,-66.9575,45.0975,35,34,1134.7503834948986,1200,3.404251150484696,1.9,33.15,12.26
BOF2017001.011.B,2017-08-11T13:02:00Z,2017-08-11T13:17:00Z,-66.937,45.0755,-66.9443,45.0823,76,64,866.7028462527286,900,3.4668113850109146,2,76.17,12.16
BOF2017001.012.C,2017-08-28T10:16:00Z,2017-08-28T10:32:00Z,-67.0144,45.0126,-67.0081,45.0208,31,29,788.3206339007088,960,2.956202377127658,1.9,29.75,13.2
BOF2017001.013.B,2017-08-28T12:14:00Z,2017-08-28T12:33:00Z,-66.9781,45.0758,-66.9774,45.0866,41,36,477.9436921761067,1140,1.5092958700298107,2,37.9,12.54
BOF2017001.014.A,2017-08-29T09:16:00Z,2017-08-29T09:30:00Z,-67.1022,45.1002,-67.0983,45.0917,27,27,570.5372199650513,840,2.4451595141359346,2.4,24.03,13.07
BOF2017001.015.C,2017-09-08T09:11:00Z,2017-09-08T09:30:00Z,-67.0134,45.0205,-66.999,45.0273,27,25,1633.064595012711,1140,5.157046089513824,2,25.88,12.56
BOF2017001.016.D,2017-09-08T10:50:00Z,2017-09-08T11:15:00Z,-66.8142,45.0109,-66.8145,45.0031,42,49,344.4563028712679,1500,0.826695126891043,2,44.77,11.72
BOF2017001.017.C,2017-09-08T12:24:00Z,2017-09-08T12:43:00Z,-66.9713,45.0407,-66.9846,45.0387,42,31,1485.8040021694608,1140,4.692012638429875,2,38.02,12.74
BOF2017001.018.D,2017-10-12T10:54:00Z,2017-10-12T11:14:00Z,-66.8868,44.8896,-66.8922,44.8938,36,40,629.7021936054019,1200,1.8891065808162057,2.2,41.99,12.1
BOF2017001.019.D,2017-10-12T12:49:00Z,2017-10-12T13:11:00Z,-66.7447,45.0122,-66.7534,45.0242,48,41,1104.9729022981976,1320,3.013562460813266,2,45.84,11.94
BOF2017001.02.B,2017-10-13T09:21:00Z,2017-10-13T09:31:00Z,-66.9559,45.0692,-66.9588,45.0762,52,50,445.1448045622641,600,2.6708688273735848,2,52.86,12.4
BOF2017001.021.D,2017-10-13T10:45:00Z,2017-10-13T10:51:00Z,-66.8314,45.0069,-66.8276,45.009,44,42,433.6967800993666,360,4.336967800993666,2,44.36,12.19
BOF2017001.022.C,2017-10-13T12:36:00Z,2017-10-13T12:55:00Z,-67.0232,45.0009,-67.0136,45.0114,38,31,1164.330224721071,1140,3.6768322885928555,2,37.27,12.71
