UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2013001.018.B,Crangon septemspinosa,sand shrimp,1,2,NA
BOF2013001.019.B,Gadus morhua,Atlantic cod,1,2.6,NA
BOF2013001.02.B,Homarus americanus,American lobster,371,240393.16,NA
BOF2013001.021.B,Doryteuthis pealeii,longfin inshore squid,6,240,NA
BOF2013001.022.B,Isodictya palmata,palmate sponge,5,285,NA
BOF2013001.001.B,Leucoraja erinacea,little skate,8,477,NA
BOF2013001.002.B,Leucoraja ocellata,winter skate,1,212,NA
BOF2013001.003.B,Limanda ferruginea,yellowtail flounder,1,192,NA
BOF2013001.004.B,Melanogrammus aeglefinus,haddock,2,15,NA
BOF2013001.005.B,Merluccius bilinearis,silver hake,277,11845.82353,NA
BOF2013001.006.B,Myoxocephalus octodecemspinosus,longhorn sculpin,10,858,NA
BOF2013001.007.B,Placopecten magellanicus,deep sea scallop,12,72,NA
BOF2013001.001.B,Pseudopleuronectes americanus,winter flounder,95,6923.6,NA
BOF2013001.002.B,Scophthalmus aquosus,windowpane flounder,38,2138,NA
BOF2013001.003.B,Spisula solidissima,surf clam,1,10,NA
BOF2013001.004.B,Strongylocentrotus droebachiensis,green sea urchin,17,305,NA
BOF2013001.005.B,Urophycis chuss,red hake,4,210,NA
BOF2013001.006.B,Urophycis tenuis,white hake,28,369,NA
BOF2013001.007.C,Amblyraja radiata,thorny skate,2,380,NA
BOF2013001.008.C,Aspidophoroides monopterygius,Atlantic alligatorfish,1,10,NA
BOF2013001.009.C,Boltenia ovifera,stalked sea squirt,10,293,NA
BOF2013001.001.C,Cancer irroratus,rock crab,6,374,NA
BOF2013001.002.C,Cucumaria frondosa,orange-footed sea cucumber,14,5020,NA
BOF2013001.003.C,Hemitripterus americanus,sea raven,5,2906,NA
BOF2013001.004.C,Homarus americanus,American lobster,120,59258,NA
BOF2013001.005.C,Doryteuthis pealeii,longfin inshore squid,2,66,NA
BOF2013001.006.C,Leucoraja erinacea,little skate,2,1216,NA
BOF2013001.007.C,Leucoraja ocellata,winter skate,2,1075,NA
BOF2013001.008.C,Melanogrammus aeglefinus,haddock,2,67,NA
BOF2013001.009.C,Merluccius bilinearis,silver hake,230,14717,NA
BOF2013001.01.C,Myoxocephalus octodecemspinosus,longhorn sculpin,18,1481,NA
BOF2013001.011.C,Pagurus acadianus,Acadian hermit crab,1,4,NA
BOF2013001.012.C,Pandalus montagui,Montague shrimp,204,900,NA
BOF2013001.001.C,Peprilus triacanthus,butterfish,7,399,NA
BOF2013001.002.C,Placopecten magellanicus,deep sea scallop,14,100,NA
BOF2013001.003.C,Pseudopleuronectes americanus,winter flounder,54,4552,NA
BOF2013001.004.C,Scophthalmus aquosus,windowpane flounder,1,35,NA
BOF2013001.005.C,Sebastes fasciatus,Acadian redfish,1,84,NA
BOF2013001.006.C,Squalus acanthias,spiny dogfish,2,4368,NA
BOF2013001.007.C,Stenotomus chrysops,scup,1,146,NA
BOF2013001.008.C,Strongylocentrotus droebachiensis,green sea urchin,128,4146,NA
BOF2013001.009.C,Urophycis chuss,red hake,133,10886,NA
BOF2013001.01.C,Urophycis tenuis,white hake,5,1487,NA
BOF2013001.011.C,Zoarces americanus,ocean pout,2,224,NA
BOF2013001.012.C,Alosa pseudoharengus,alewife,119,14890,NA
BOF2013001.013.C,Boltenia ovifera,stalked sea squirt,1,39,NA
BOF2013001.014.C,Cancer irroratus,rock crab,5,193,NA
BOF2013001.015.C,Ciona intestinalis,sea vase,8,85,NA
BOF2013001.016.C,Clupea harengus,herring,3,120,NA
BOF2013001.017.C,Ctenodiscus crispatus,mud star,2,13,NA
BOF2013001.018.C,Homarus americanus,American lobster,55,40729,NA
BOF2013001.019.C,Doryteuthis pealeii,longfin inshore squid,1,58,NA
BOF2013001.001.C,Leucoraja erinacea,little skate,1,128,NA
BOF2013001.002.C,Melanogrammus aeglefinus,haddock,19,424,NA
BOF2013001.003.C,Merluccius bilinearis,silver hake,428,29640,NA
BOF2013001.004.C,Myoxocephalus octodecemspinosus,longhorn sculpin,5,519,NA
BOF2013001.005.C,Pandalus montagui,Montague shrimp,13,67,NA
BOF2013001.006.C,Peprilus triacanthus,butterfish,31,1695,NA
BOF2013001.007.C,Placopecten magellanicus,deep sea scallop,51,1171,NA
BOF2013001.008.C,Pseudopleuronectes americanus,winter flounder,265,11266,NA
BOF2013001.009.C,Scophthalmus aquosus,windowpane flounder,5,251,NA
BOF2013001.01.C,Spisula solidissima,surf clam,10,136,NA
BOF2013001.011.C,Suberites ficus,fig sponge,16,928,NA
BOF2013001.012.C,Urophycis chuss,red hake,15,770,NA
BOF2013001.013.B,Alosa pseudoharengus,alewife,2,168,NA
BOF2013001.014.B,Asterias vulgaris,northern sea star,3,6,NA
BOF2013001.015.B,Bathypolypus arcticus,deep sea octopus,1,66,NA
BOF2013001.016.B,Cancer irroratus,rock crab,3,485,NA
BOF2013001.017.B,Ctenodiscus crispatus,mud star,2,14,NA
BOF2013001.018.B,Cucumaria frondosa,orange-footed sea cucumber,610,221738,NA
BOF2013001.019.B,Enchelyopus cimbrius,fourbeard rockling,1,66,NA
BOF2013001.02.B,Hemitripterus americanus,sea raven,1,730,NA
BOF2013001.001.B,Homarus americanus,American lobster,252,94256,NA
BOF2013001.002.B,Lepiodonotus squamatus,scale worm,1,2,NA
BOF2013001.003.B,Leucoraja erinacea,little skate,3,828,NA
BOF2013001.004.B,Leucoraja ocellata,winter skate,1,38,NA
BOF2013001.005.B,Melanogrammus aeglefinus,haddock,2,66,NA
BOF2013001.006.B,Merluccius bilinearis,silver hake,340,18696,NA
BOF2013001.007.B,Myoxocephalus octodecemspinosus,longhorn sculpin,57,3565,NA
BOF2013001.008.B,Pandalus borealis,northern shrimp,109,1505,NA
BOF2013001.009.B,Pandalus montagui,Montague shrimp,752,3835,NA
BOF2013001.01.B,Peprilus triacanthus,butterfish,4,212,NA
BOF2013001.011.B,Placopecten magellanicus,deep sea scallop,64,305,NA
BOF2013001.012.B,Pseudopleuronectes americanus,winter flounder,51,1892,NA
BOF2013001.013.B,Scophthalmus aquosus,windowpane flounder,5,166,NA
BOF2013001.014.B,Sclerocrangon boreas,sculptured shrimp,1,8,NA
BOF2013001.015.B,Strongylocentrotus droebachiensis,green sea urchin,413,5838,NA
BOF2013001.016.B,Ulvaria subbifurcata,radiated shanny,1,21,NA
BOF2013001.017.B,Urophycis chuss,red hake,21,1584,NA
BOF2013001.018.B,Urophycis tenuis,white hake,4,156,NA
BOF2013001.019.D,Alosa pseudoharengus,alewife,3,145,NA
BOF2013001.02.D,Alosa sapidissima,shad,1,181,NA
BOF2013001.021.D,Chlamys islandica,Iceland scallop,1,2,NA
BOF2013001.022.D,Ctenodiscus crispatus,mud star,1,7,NA
BOF2013001.001.D,Hippoglossoides platessoides,American plaice,1,29,NA
BOF2013001.002.D,Homarus americanus,American lobster,83,84175,NA
BOF2013001.003.D,Doryteuthis pealeii,longfin inshore squid,2,67,NA
BOF2013001.004.D,Melanogrammus aeglefinus,haddock,1,13,NA
BOF2013001.005.D,Merluccius bilinearis,silver hake,140,11388,NA
BOF2013001.006.D,Myoxocephalus octodecemspinosus,longhorn sculpin,3,1327,NA
BOF2013001.007.D,Pandalus borealis,northern shrimp,1,12,NA
BOF2013001.008.D,Pandalus montagui,Montague shrimp,1,7,NA
BOF2013001.009.D,Peprilus triacanthus,butterfish,3,307,NA
BOF2013001.01.D,Pseudopleuronectes americanus,winter flounder,119,23025,NA
BOF2013001.011.D,Scomber scombrus,mackerel,6,900,NA
BOF2013001.012.D,Urophycis chuss,red hake,1,36,NA
BOF2013001.013.D,Urophycis tenuis,white hake,4,928,NA
BOF2013001.014.D,Amblyraja radiata,thorny skate,2,1364,NA
BOF2013001.015.D,Bathypolypus arcticus,deep sea octopus,1,18,NA
BOF2013001.016.D,Astarte castanea,chestnut astarte,1,2,NA
BOF2013001.017.D,Ctenodiscus crispatus,mud star,4,26,NA
BOF2013001.018.D,Enchelyopus cimbrius,fourbeard rockling,2,138,NA
BOF2013001.019.D,Hemitripterus americanus,sea raven,3,2312,NA
BOF2013001.02.D,Homarus americanus,American lobster,8,3410,NA
BOF2013001.021.D,Doryteuthis pealeii,longfin inshore squid,3,134,NA
BOF2013001.022.D,Melanogrammus aeglefinus,haddock,1,38,NA
BOF2013001.023.D,Melanogrammus aeglefinus,haddock,1,24,NA
BOF2013001.024.D,Merluccius bilinearis,silver hake,1062,70137,NA
BOF2013001.025.D,Myoxocephalus octodecemspinosus,longhorn sculpin,14,3363,NA
BOF2013001.026.D,Pandalus borealis,northern shrimp,2,36,NA
BOF2013001.001.D,Pandalus montagui,Montague shrimp,110,638,NA
BOF2013001.002.D,Peprilus triacanthus,butterfish,1,129,NA
BOF2013001.003.D,Placopecten magellanicus,deep sea scallop,4,14,NA
BOF2013001.004.D,Pseudopleuronectes americanus,winter flounder,77,14697,NA
BOF2013001.005.D,Rajella bathyphilus,deepwater ray,4,164,NA
BOF2013001.006.D,Sebastes fasciatus,Acadian redfish,3,377,NA
BOF2013001.007.D,Suberites ficus,fig sponge,1,70,NA
BOF2013001.008.D,Triglops murrayi,moustache sculpin,1,2,NA
BOF2013001.009.D,Urophycis chuss,red hake,61,5350,NA
BOF2013001.01.D,Urophycis tenuis,white hake,10,2612,NA
BOF2013001.011.C,Alosa pseudoharengus,alewife,3,309,NA
BOF2013001.012.C,Alosa sapidissima,shad,1,150,NA
BOF2013001.013.C,Cancer irroratus,rock crab,3,194,NA
BOF2013001.014.C,Clupea harengus,herring,1,50,NA
BOF2013001.015.C,Homarus americanus,American lobster,41,32282,NA
BOF2013001.016.C,Doryteuthis pealeii,longfin inshore squid,2,145,NA
BOF2013001.017.C,Melanogrammus aeglefinus,haddock,23,958,NA
BOF2013001.018.C,Merluccius bilinearis,silver hake,156,10603,NA
BOF2013001.019.C,Pandalus montagui,Montague shrimp,1,4,NA
BOF2013001.02.C,Peprilus triacanthus,butterfish,20,1512,NA
BOF2013001.021.C,Placopecten magellanicus,deep sea scallop,29,1056,NA
BOF2013001.022.C,Pseudopleuronectes americanus,winter flounder,450,18922,NA
BOF2013001.001.C,Scophthalmus aquosus,windowpane flounder,1,42,NA
BOF2013001.002.C,Spisula solidissima,surf clam,4,99,NA
BOF2013001.003.C,Strongylocentrotus droebachiensis,green sea urchin,3,16,NA
BOF2013001.004.C,Suberites ficus,fig sponge,8,500,NA
BOF2013001.005.C,Urophycis chuss,red hake,2,181,NA
BOF2013001.006.C,Urophycis tenuis,white hake,23,1305,NA
BOF2013001.007.C,Alosa pseudoharengus,alewife,9,574,NA
BOF2013001.001.C,Cancer irroratus,rock crab,1,72,NA
BOF2013001.002.C,Clupea harengus,herring,6,316,NA
BOF2013001.003.C,Crangon septemspinosa,sand shrimp,1,4,NA
BOF2013001.004.C,Homarus americanus,American lobster,127,112546,NA
BOF2013001.005.C,Doryteuthis pealeii,longfin inshore squid,14,1074,NA
BOF2013001.006.C,Melanogrammus aeglefinus,haddock,6,178,NA
BOF2013001.007.C,Merluccius bilinearis,silver hake,226,9602,NA
BOF2013001.008.C,Myoxocephalus octodecemspinosus,longhorn sculpin,2,540,NA
BOF2013001.009.C,Pandalus borealis,northern shrimp,1,16,NA
BOF2013001.001.C,Pandalus montagui,Montague shrimp,2,2,NA
BOF2013001.002.C,Peprilus triacanthus,butterfish,45,3367,NA
BOF2013001.003.C,Placopecten magellanicus,deep sea scallop,50,798,NA
BOF2013001.004.C,Pseudopleuronectes americanus,winter flounder,230,12223,NA
BOF2013001.005.C,Scophthalmus aquosus,windowpane flounder,12,664,NA
BOF2013001.006.C,Spisula solidissima,surf clam,5,74,NA
BOF2013001.007.C,Suberites ficus,fig sponge,12,740,NA
BOF2013001.008.C,Urophycis chuss,red hake,5,366,NA
BOF2013001.009.C,Urophycis tenuis,white hake,18,956,NA
BOF2013001.01.C,Zoarces americanus,ocean pout,1,58,NA
BOF2013001.011.D,Amblyraja radiata,thorny skate,1,332,NA
BOF2013001.012.D,Aphrodita aculeata,sea mouse,1,12,NA
BOF2013001.001.D,Aspidophoroides monopterygius,Atlantic alligatorfish,2,6,NA
BOF2013001.002.D,Ciona intestinalis,sea vase,1,2,NA
BOF2013001.003.D,Cucumaria frondosa,orange-footed sea cucumber,1,5,NA
BOF2013001.004.D,Enchelyopus cimbrius,fourbeard rockling,9,589,NA
BOF2013001.005.D,Hemitripterus americanus,sea raven,2,1494,NA
BOF2013001.006.D,Homarus americanus,American lobster,203,146143,NA
BOF2013001.007.D,Hyas araneus,Atlantic lyre crab,2,28,NA
BOF2013001.008.D,Doryteuthis pealeii,longfin inshore squid,1,77,NA
BOF2013001.009.D,Lepiodonotus squamatus,scale worm,2,30,NA
BOF2013001.01.D,Melanogrammus aeglefinus,haddock,2,104,NA
BOF2013001.011.D,Merluccius bilinearis,silver hake,1365,106505,NA
BOF2013001.012.D,Myoxocephalus octodecemspinosus,longhorn sculpin,21,3913,NA
BOF2013001.013.D,Pandalus borealis,northern shrimp,1,8,NA
BOF2013001.014.D,Pandalus montagui,Montague shrimp,239,1340,NA
BOF2013001.015.D,Placopecten magellanicus,deep sea scallop,274,896,NA
BOF2013001.016.D,Pseudopleuronectes americanus,winter flounder,127,19124,NA
BOF2013001.017.D,Rajella bathyphilus,deepwater ray,2,391,NA
BOF2013001.018.D,Sebastes fasciatus,Acadian redfish,4,207,NA
BOF2013001.019.D,Solamen glandula,fragile crenella,1,2,NA
BOF2013001.001.D,Spisula solidissima,surf clam,3,32,NA
BOF2013001.002.D,Suberites ficus,fig sponge,1,740,NA
BOF2013001.003.D,Urophycis chuss,red hake,81,9388,NA
BOF2013001.004.D,Urophycis tenuis,white hake,36,5819,NA
BOF2013001.005.D,Alosa pseudoharengus,alewife,160,8471,NA
BOF2013001.006.D,Boltenia ovifera,stalked sea squirt,1,30,NA
BOF2013001.007.D,Cancer irroratus,rock crab,2,420,NA
BOF2013001.008.D,Clupea harengus,herring,3,34,NA
BOF2013001.009.D,Ctenodiscus crispatus,mud star,9,44,NA
BOF2013001.01.D,Enchelyopus cimbrius,fourbeard rockling,1,116,NA
BOF2013001.011.D,Hippoglossoides platessoides,American plaice,20,612,NA
BOF2013001.012.D,Homarus americanus,American lobster,250,232496,NA
BOF2013001.013.D,Melanogrammus aeglefinus,haddock,4,222,NA
BOF2013001.014.D,Merluccius bilinearis,silver hake,639,63274,NA
BOF2013001.015.D,Myoxocephalus octodecemspinosus,longhorn sculpin,1,276,NA
BOF2013001.016.D,Pandalus borealis,northern shrimp,3,24,NA
BOF2013001.017.D,Pandalus montagui,Montague shrimp,27,116,NA
BOF2013001.018.D,Peprilus triacanthus,butterfish,18,1152,NA
BOF2013001.019.D,Placopecten magellanicus,deep sea scallop,36,266,NA
BOF2013001.02.D,Pseudopleuronectes americanus,winter flounder,193,31762,NA
BOF2013001.001.D,Scophthalmus aquosus,windowpane flounder,2,158,NA
BOF2013001.002.D,Urophycis chuss,red hake,6,482,NA
BOF2013001.003.D,Urophycis tenuis,white hake,62,5124,NA
BOF2013001.004.C,Alosa pseudoharengus,alewife,21,1053,NA
BOF2013001.005.C,Cancer irroratus,rock crab,3,149,NA
BOF2013001.006.C,Halichondria sp.,Halichondria sp.,1,2,NA
BOF2013001.007.C,Hippoglossoides platessoides,American plaice,2,60,NA
BOF2013001.008.C,Homarus americanus,American lobster,51,56939,NA
